Y X N W1 W2
0.8371 0.3518 26828 0.6883 0.9179
0.7253 0.5916 22790 0.6145 0.8858
0.8305 0.3049 35847 0.693 0.8908
0.7873 0.4595 17444 0.6712 0.886
0.8133 0.2242 26250 0.6669 0.8556
0.8624 0.4336 7560 0.7916 0.9166
0.7863 0.4719 17787 0.6597 0.8994
0.7669 0.4571 8933 0.6699 0.8487
0.8808 0.2516 45016 0.758 0.922
0.7571 0.6231 26846 0.6621 0.914
0.8198 0.2761 15442 0.6751 0.8749
0.8727 0.1156 11798 0.7141 0.8934
0.7785 0.5718 10955 0.6908 0.8958
0.7478 0.3925 6328 0.5419 0.8809
0.8815 0.2126 24503 0.7207 0.9249
0.801 0.2438 28777 0.6796 0.8401
0.7891 0.4501 5928 0.6848 0.8745
0.8537 0.3015 8264 0.7191 0.9118
0.7959 0.4365 16170 0.6852 0.8817
0.859 0.1604 12092 0.7758 0.8749
0.8756 0.156 9603 0.7323 0.902
0.7325 0.4837 12514 0.6027 0.854
0.8624 0.3785 50047 0.7116 0.9542
0.8046 0.2388 10346 0.6402 0.8561
0.8358 0.3191 12196 0.7027 0.8982
0.7632 0.4055 23739 0.6393 0.8477
0.8479 0.4778 25049 0.7192 0.9656
0.7475 0.5642 15903 0.6452 0.88
0.8169 0.2885 9776 0.706 0.8618
0.8689 0.3105 11049 0.7604 0.9178
0.8291 0.361 7003 0.7215 0.8898
0.836 0.4908 12127 0.729 0.9391
0.7981 0.4765 10981 0.6661 0.9182
0.8573 0.4908 7767 0.7825 0.9295
0.7624 0.4166 12265 0.6 0.8784
0.7408 0.4866 24956 0.5844 0.8891
0.8331 0.1467 5380 0.7364 0.8497
0.868 0.1099 21199 0.7382 0.884
0.8146 0.4539 14114 0.7126 0.8993
0.7288 0.4176 37004 0.6342 0.7967
0.8145 0.2823 26139 0.6547 0.8773
0.878 0.2491 27223 0.7311 0.9268
0.8238 0.1484 19903 0.6895 0.8472
0.8095 0.3224 21101 0.7114 0.8562
0.7001 0.5275 10953 0.6007 0.811
0.815 0.1122 13910 0.5964 0.8426
0.7691 0.1285 13731 0.5896 0.7955
0.791 0.0917 20814 0.5928 0.811
0.8685 0.089 5132 0.7133 0.8836
0.7958 0.2975 3775 0.6643 0.8514
0.815 0.2791 22896 0.6296 0.8868
0.8094 0.5037 13872 0.7017 0.9187
0.8339 0.3989 47083 0.731 0.9022
0.8057 0.6385 14256 0.7414 0.9193
0.859 0.4919 7868 0.7747 0.9407
0.8063 0.4283 25701 0.6753 0.9044
0.7828 0.0856 21226 0.7822 0.7829
0.7502 0.4255 20363 0.5997 0.8617
0.8054 0.0716 10893 0.6179 0.8198
0.9676 0.0527 20129 0.82 0.9758
0.9785 0.0539 21689 0.9333 0.9811
0.9792 0.0848 54885 0.9102 0.9855
0.9582 0.0566 17402 0.8569 0.9643
0.9702 0.0655 185700 0.9087 0.9745
0.9333 0.0721 20353 0.8515 0.9396
0.9682 0.1336 24459 0.8721 0.983
0.9711 0.0548 387373 0.8535 0.9779
0.9458 0.0585 31807 0.8806 0.9499
0.8649 0.1604 9736 0.7382 0.8892
0.9379 0.0819 13150 0.8124 0.9491
0.917 0.0746 20949 0.6993 0.9345
0.9152 0.1717 17888 0.7695 0.9454
0.8477 0.0635 11655 0.7986 0.851
0.8835 0.2004 15362 0.7212 0.9242
0.9054 0.0622 11135 0.7633 0.9149
0.96 0.07 12602 0.8673 0.967
0.9562 0.1026 19354 0.8413 0.9693
0.9312 0.0844 18324 0.7731 0.9458
0.9715 0.0614 21916 0.8648 0.9785
0.8891 0.0705 16607 0.7541 0.8993
0.905 0.0576 11503 0.6767 0.9189
0.97 0.1281 14149 0.8533 0.9872
0.9234 0.0576 7731 0.8112 0.9303
0.8812 0.0658 19919 0.7879 0.8878
0.9627 0.107 24962 0.8558 0.9755
0.944 0.2459 24223 0.8315 0.9807
0.9074 0.0946 7007 0.7391 0.925
0.9519 0.0719 10843 0.809 0.9629
0.8063 0.2305 14168 0.7183 0.8327
0.8623 0.2541 14492 0.8232 0.8756
0.9081 0.0595 9442 0.7509 0.918
0.9334 0.3127 40189 0.8793 0.9581
0.9455 0.1461 10519 0.7879 0.9725
0.8926 0.4097 13857 0.8358 0.932
0.979 0.1061 69249 0.9065 0.9876
0.9144 0.28 15215 0.8138 0.9535
0.9751 0.0596 17534 0.8632 0.9822
0.9073 0.1195 34279 0.8057 0.9211
0.8567 0.2051 13650 0.7504 0.8841
0.8426 0.1344 17020 0.7644 0.8547
0.9707 0.082 27034 0.9175 0.9755
0.9042 0.3976 15864 0.8343 0.9504
0.9514 0.0949 87999 0.8944 0.9574
0.9508 0.1016 96446 0.8843 0.9583
0.9542 0.0571 1261132 0.9223 0.9562
0.766 0.6339 24797 0.6601 0.9493
0.7587 0.5347 30233 0.6416 0.8932
0.7899 0.3763 48963 0.6315 0.8855
0.7636 0.6753 12917 0.6701 0.958
0.6956 0.7063 24417 0.5921 0.9445
0.6228 0.8637 22398 0.5702 0.9561
0.6362 0.7813 16678 0.5635 0.8956
0.7294 0.7482 11496 0.6513 0.9613
0.7884 0.6219 69560 0.6731 0.978
0.7605 0.3172 18274 0.5943 0.8378
0.6964 0.6368 21071 0.5588 0.9378
0.7106 0.3946 18266 0.5646 0.8057
0.7209 0.7149 21886 0.6405 0.9224
0.5986 0.6269 25052 0.4178 0.9025
0.7219 0.5756 25283 0.6364 0.8378
0.7504 0.4965 15943 0.6728 0.827
0.7379 0.6072 12635 0.6112 0.9337
0.7062 0.6917 19764 0.5903 0.9664
0.6501 0.7412 20473 0.5529 0.9285
0.7592 0.5571 25032 0.641 0.908
0.6021 0.7187 16142 0.4968 0.8711
0.8215 0.3021 49157 0.6666 0.8885
0.7725 0.61 24508 0.6649 0.9408
0.6815 0.6346 17421 0.5455 0.9177
0.7591 0.2398 18694 0.5889 0.8128
0.6741 0.595 18783 0.5075 0.9188
0.7141 0.4839 18401 0.5325 0.8844
0.7399 0.5372 29578 0.5845 0.9203
0.6221 0.6601 17236 0.4808 0.8967
0.8152 0.3524 22800 0.6082 0.9278
0.8083 0.526 14598 0.7374 0.8868
0.6768 0.5879 21831 0.5775 0.8185
0.7973 0.6158 24564 0.6939 0.963
0.8073 0.2495 19168 0.691 0.846
0.7761 0.6447 39223 0.6733 0.9626
0.8024 0.2143 17587 0.6148 0.8535
0.8056 0.5265 41900 0.6892 0.9351
0.7793 0.5208 14394 0.625 0.9469
0.7872 0.3134 59419 0.6331 0.8575
0.758 0.7167 27138 0.6794 0.9568
0.7344 0.5001 20758 0.6025 0.8663
0.6706 0.6019 25660 0.546 0.8589
0.727 0.5164 34063 0.5624 0.9027
0.8524 0.0565 12584 0.782 0.8566
0.899 0.2431 17245 0.7412 0.9497
0.8527 0.0633 4421 0.6929 0.8636
0.8911 0.0619 14890 0.7959 0.8973
0.8836 0.106 12074 0.7453 0.9
0.8402 0.079 18929 0.7298 0.8497
0.8297 0.0552 7734 0.548 0.8462
0.8887 0.2062 17791 0.7081 0.9356
0.879 0.1477 7660 0.7515 0.9011
0.8674 0.1692 6620 0.6384 0.914
0.7938 0.0562 13529 0.7224 0.798
0.8814 0.1029 11560 0.6773 0.9048
0.8663 0.221 11601 0.6568 0.9257
0.9019 0.3227 120823 0.7602 0.9694
0.8613 0.101 7100 0.7406 0.8748
0.8357 0.0566 11025 0.6795 0.8451
0.877 0.1533 14171 0.744 0.9011
0.8514 0.208 20103 0.6948 0.8925
0.6996 0.7291 21159 0.6097 0.9414
0.8719 0.1563 14857 0.6968 0.9043
0.8946 0.2275 31030 0.7363 0.9412
0.8265 0.3255 23835 0.6522 0.9106
0.8929 0.1193 10207 0.7545 0.9117
0.9091 0.3026 70051 0.802 0.9555
0.7701 0.4271 16765 0.6032 0.8944
0.8615 0.124 12422 0.763 0.8754
0.8206 0.0838 16960 0.6749 0.834
0.7973 0.669 18697 0.7194 0.9548
0.8702 0.1112 12315 0.7516 0.8851
0.8861 0.2295 18773 0.6866 0.9455
0.8619 0.1479 11558 0.6953 0.8908
0.9126 0.1472 4579 0.8472 0.9239
0.8507 0.0883 9780 0.6343 0.8717
0.8415 0.0956 3785 0.5608 0.8712
0.8556 0.0937 12950 0.6993 0.8718
0.9117 0.1432 73016 0.8322 0.925
0.7483 0.3915 6416 0.6246 0.8279
0.8293 0.4518 15300 0.6946 0.9403
0.8632 0.0566 12399 0.6752 0.8745
0.8173 0.1512 4193 0.7192 0.8348
0.8526 0.2097 19056 0.6927 0.895
0.8992 0.0728 9889 0.8014 0.9069
0.8802 0.0923 15161 0.7186 0.8967
0.878 0.0939 11679 0.7311 0.8932
0.8753 0.4007 29777 0.7473 0.9608
0.8663 0.1329 13406 0.7872 0.8785
0.9006 0.1935 12873 0.7077 0.9468
0.8185 0.3982 30535 0.6601 0.9233
0.851 0.0864 4236 0.7268 0.8628
0.8373 0.0566 14748 0.7542 0.8423
0.8291 0.399 25279 0.7122 0.9067
0.8826 0.0704 3492 0.6992 0.8965
0.8639 0.0822 8131 0.6527 0.8828
0.9154 0.1809 22405 0.7705 0.9474
0.8326 0.0691 6118 0.747 0.839
0.847 0.088 11043 0.7459 0.8567
0.8769 0.1054 16363 0.7587 0.8908
0.8505 0.2536 19196 0.6728 0.9109
0.8395 0.3408 24906 0.6704 0.9269
0.8879 0.4762 155103 0.7837 0.9825
0.8607 0.1219 13426 0.6644 0.888
0.8316 0.1197 10490 0.6457 0.8568
0.8693 0.0585 20658 0.7444 0.877
0.8484 0.2097 19310 0.6621 0.8978
0.8037 0.4509 21158 0.6589 0.9226
0.8167 0.2976 4358 0.6816 0.8739
0.8915 0.1189 12300 0.6904 0.9186
0.8999 0.0808 21992 0.7373 0.9142
0.8496 0.0757 8331 0.71 0.861
0.9118 0.1082 23865 0.7456 0.932
0.831 0.0615 10955 0.6261 0.8445
0.7976 0.3237 18017 0.6116 0.8866
0.8806 0.2414 19503 0.6782 0.945
0.8852 0.3815 21599 0.735 0.9778
0.9019 0.1466 12350 0.7189 0.9334
0.9772 0.071 1620 0.8174 0.9894
0.8903 0.2708 13131 0.7213 0.9531
0.8488 0.3647 18445 0.7584 0.9007
0.9501 0.1318 36070 0.8111 0.9712
0.8771 0.1018 94021 0.8644 0.8785
0.9229 0.0797 3138 0.652 0.9463
0.871 0.3646 25262 0.7184 0.9586
0.8336 0.4579 10309 0.6609 0.9796
0.8032 0.4684 13929 0.7102 0.8852
0.84 0.4641 13517 0.7373 0.9289
0.7444 0.2183 17126 0.7614 0.7396
0.9507 0.1319 2737 0.8698 0.963
0.8556 0.4496 6793 0.7109 0.9738
0.8532 0.3507 19013 0.6855 0.9438
0.9254 0.2443 3135 0.7963 0.9671
0.9115 0.2568 20751 0.7429 0.9698
0.8545 0.3698 14167 0.6982 0.9462
0.9547 0.0701 19367 0.8143 0.9652
0.9502 0.1863 107583 0.8235 0.9792
0.8346 0.2059 17214 0.7774 0.8494
0.9481 0.0567 10031 0.7909 0.9575
0.9436 0.0717 22696 0.7529 0.9583
0.9352 0.1825 38652 0.7907 0.9675
0.8704 0.3573 25403 0.7598 0.9319
0.9372 0.122 32488 0.7427 0.9643
0.9108 0.2366 21810 0.7702 0.9544
0.7071 0.6336 13806 0.5807 0.9257
0.9201 0.0833 6494 0.6118 0.9481
0.8897 0.4191 14527 0.7608 0.9827
0.9443 0.2052 36259 0.8694 0.9636
0.7355 0.151 7086 0.7832 0.7271
0.815 0.2858 19966 0.7365 0.8465
0.9491 0.1225 49570 0.7738 0.9735
0.8424 0.5407 10352 0.7263 0.9792
0.8122 0.461 15289 0.6862 0.92
0.779 0.2219 17847 0.7677 0.7822
0.9127 0.2123 9528 0.8028 0.9423
0.9316 0.274 93247 0.8196 0.9739
0.8158 0.6205 26929 0.7219 0.9694
0.8275 0.142 11395 0.8084 0.8306
0.9063 0.2072 14121 0.7344 0.9512
0.9439 0.1075 33318 0.7508 0.9671
0.9248 0.1066 21801 0.6902 0.9528
0.8874 0.4158 20513 0.7844 0.9608
0.9479 0.0973 34549 0.7503 0.9692
0.8824 0.3175 4737 0.7547 0.9418
0.8773 0.3388 10089 0.7332 0.9511
0.9231 0.2879 30220 0.8252 0.9627
0.7481 0.0557 10444 0.7577 0.7475
0.8988 0.2348 26157 0.7257 0.9519
0.9499 0.0513 3451 0.8927 0.953
0.8978 0.2324 33609 0.7186 0.952
0.922 0.1598 19161 0.7593 0.953
0.9093 0.3038 9195 0.7834 0.9642
0.8472 0.4008 11673 0.6858 0.9551
0.8127 0.3208 7945 0.601 0.9127
0.9117 0.2734 24452 0.7867 0.9587
0.9319 0.2403 54615 0.8047 0.9721
0.7381 0.0526 798 0.6429 0.7434
0.897 0.2586 7242 0.6946 0.9676
0.8349 0.6267 7474 0.7541 0.9706
0.9077 0.3239 10234 0.7768 0.9704
0.8951 0.2557 26153 0.7585 0.942
0.8392 0.4472 11231 0.6952 0.9557
0.8986 0.3411 7308 0.7485 0.9763
0.8867 0.2497 19101 0.701 0.9485
0.9237 0.2358 34322 0.756 0.9754
0.9001 0.3453 7546 0.7985 0.9536
0.8939 0.2116 7088 0.7533 0.9316
0.8596 0.42 13970 0.7081 0.9693
0.834 0.3797 12470 0.6969 0.9179
0.9041 0.0935 4653 0.7195 0.9232
0.8772 0.2981 20152 0.7172 0.9451
0.7944 0.1697 2009 0.651 0.8237
0.8098 0.5361 20069 0.6961 0.941
0.9428 0.0966 5787 0.6351 0.9757
0.8686 0.4081 18661 0.7218 0.9699
0.914 0.1864 5869 0.745 0.9527
0.8444 0.3012 7685 0.6592 0.9242
0.8964 0.5389 6702 0.8378 0.965
0.9061 0.196 18308 0.6898 0.9588
0.8773 0.4019 29985 0.7341 0.9736
0.9629 0.1481 85409 0.8667 0.9796
0.8953 0.1921 11521 0.653 0.9529
0.8912 0.2715 43159 0.7894 0.9291
0.9076 0.2533 8989 0.8103 0.9406
0.8846 0.2085 7294 0.7055 0.9318
0.8833 0.2772 13836 0.6787 0.9618
0.9447 0.0595 18008 0.7817 0.9551
0.8254 0.2395 11171 0.7054 0.8632
0.8379 0.5079 11578 0.7307 0.9486
0.8118 0.5423 9001 0.6779 0.9704
0.8547 0.4628 18716 0.765 0.932
0.8443 0.4263 15519 0.72 0.9365
0.9009 0.1759 30546 0.7205 0.9395
0.818 0.056 11972 0.7791 0.8203
0.9107 0.1702 16420 0.7206 0.9497
0.8123 0.3369 27207 0.6578 0.8909
0.8588 0.3315 27467 0.6932 0.9409
0.9354 0.2737 20479 0.8139 0.9812
0.8991 0.2147 14684 0.7523 0.9393
0.7574 0.6146 6472 0.6247 0.9691
0.7956 0.3832 13506 0.5777 0.931
0.8962 0.3423 6433 0.7997 0.9463
0.9175 0.1635 33337 0.7545 0.9494
0.903 0.1925 4905 0.7818 0.9318
0.8412 0.2809 21533 0.6317 0.923
0.9013 0.1966 12968 0.762 0.9354
0.7938 0.5774 13551 0.7096 0.9089
0.7823 0.4914 11082 0.6702 0.8907
0.8706 0.3494 40176 0.7003 0.9621
0.7626 0.5143 11924 0.6443 0.8878
0.748 0.6914 3781 0.7043 0.8458
0.7882 0.5194 11359 0.6492 0.9385
0.8524 0.3424 15828 0.6651 0.9499
0.8638 0.2516 5625 0.6947 0.9207
0.8579 0.3757 10075 0.6867 0.9609
0.7551 0.6347 6528 0.6259 0.9795
0.8413 0.5045 30508 0.7224 0.9624
0.9059 0.3649 17670 0.7766 0.9801
0.8101 0.5724 6626 0.7269 0.9216
0.9195 0.2303 15755 0.7696 0.9644
0.8727 0.3225 16870 0.7076 0.9513
0.8807 0.0595 10056 0.6923 0.8926
0.819 0.3879 6254 0.5812 0.9697
0.7884 0.2057 18621 0.5717 0.8445
0.9305 0.094 14624 0.7125 0.9531
0.8616 0.0647 8251 0.6142 0.8787
0.7961 0.462 9068 0.7262 0.8561
0.7701 0.5523 6763 0.6337 0.9382
0.6921 0.1902 4842 0.6037 0.7128
0.7495 0.6107 8423 0.6297 0.9375
0.7783 0.4962 28411 0.6598 0.8949
0.8397 0.3962 12848 0.6704 0.9508
0.9154 0.3585 122886 0.7946 0.9828
0.782 0.3953 13019 0.607 0.8965
0.741 0.4828 10780 0.5739 0.897
0.7973 0.4494 5047 0.597 0.9608
0.7802 0.5481 6948 0.6686 0.9156
0.8003 0.4465 4762 0.6463 0.9245
0.8457 0.5501 6273 0.7476 0.9656
0.7583 0.5108 7220 0.6003 0.9233
0.897 0.2361 16406 0.6783 0.9646
0.8383 0.4624 12115 0.7051 0.9529
0.8106 0.5166 9259 0.6787 0.9515
0.7964 0.3152 7274 0.642 0.8675
0.9108 0.2699 6870 0.7546 0.9685
0.7977 0.5575 20755 0.695 0.9272
0.8412 0.5122 6587 0.7389 0.9486
0.882 0.1454 15796 0.714 0.9106
0.7756 0.5647 20090 0.6355 0.9572
0.7847 0.3051 11868 0.5852 0.8723
0.7672 0.5781 3484 0.64 0.9415
0.8796 0.4449 121680 0.7645 0.9718
0.8343 0.5338 12245 0.7272 0.9569
0.8567 0.3778 7915 0.7258 0.9362
0.8658 0.5285 10127 0.7599 0.9845
0.8574 0.3968 9990 0.698 0.9622
0.8919 0.0832 10366 0.6833 0.9108
0.8191 0.0955 11617 0.7286 0.8286
0.7823 0.3735 51029 0.5881 0.8981
0.7972 0.5716 4507 0.6506 0.9927
0.8422 0.5781 10629 0.7409 0.981
0.7793 0.5724 5606 0.6482 0.9549
0.8703 0.2227 8958 0.7088 0.9166
0.7887 0.4841 8568 0.6661 0.9038
0.8455 0.1792 12508 0.6983 0.8776
0.7753 0.262 5927 0.6948 0.8038
0.6914 0.4045 5422 0.4355 0.8653
0.9216 0.2162 42155 0.7636 0.9651
0.8763 0.1678 17999 0.7192 0.9079
0.9015 0.067 26205 0.6838 0.9171
0.7191 0.592 18625 0.6058 0.8835
0.8732 0.3123 11932 0.7013 0.9513
0.8438 0.2081 6064 0.687 0.885
0.7791 0.601 7048 0.6667 0.9484
0.7503 0.6343 9866 0.6206 0.9751
0.8555 0.1206 17711 0.7551 0.8692
0.8973 0.1254 6484 0.6716 0.9296
0.9038 0.4462 20420 0.8054 0.983
0.8565 0.0926 28244 0.7683 0.8655
0.7747 0.4804 6782 0.6025 0.9339
0.8251 0.0958 23548 0.6906 0.8393
0.8814 0.1129 14816 0.7327 0.9003
0.8735 0.4814 5733 0.8207 0.9226
0.9305 0.0556 11731 0.7531 0.941
0.9453 0.0841 17159 0.7782 0.9607
0.9346 0.0574 35863 0.8601 0.9391
0.8827 0.193 37352 0.804 0.9015
0.9227 0.0735 18247 0.7547 0.9361
0.9233 0.2153 12311 0.8045 0.9559
0.9026 0.0868 59693 0.8529 0.9073
0.7982 0.3301 35604 0.7592 0.8174
0.9 0.1664 27932 0.7732 0.9253
0.8042 0.0777 13986 0.6532 0.817
0.9463 0.0511 9718 0.7626 0.9562
0.8955 0.0897 18108 0.7968 0.9052
0.9294 0.0669 13263 0.8343 0.9362
0.9818 0.0683 21722 0.9501 0.9841
